Variable Name/Key,🟢 CO English Current,⚪ SOURCE English,🟢 CO Español Current,⚪ SOURCE Español,Notes
S2 - Portal Dashboard - Alert Check Address Title,Is your address correct?,Is your address correct?,Revisa tu dirección,Revisa tu dirección,
S2 - Portal Dashboard - Alert Check Address Body,Please check your preferred mailing address to make sure you can receive Summer EBT cards and other mail from us.,Please check your preferred mailing address to make sure you can receive Summer EBT cards and other mail from us.,"Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas Summer EBT y otros envíos por correo de nuestra parte.","Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas Summer EBT y otros envíos por correo de nuestra parte.",
S2 - Portal Dashboard - Alert Check Address Link 1,"Yes, this is my address","Yes, this is my address","Si, esta es mi dirección postal","Si, esta es mi dirección postal",
S2 - Portal Dashboard - Alert Check Address Link 2,"No, change my mailing address","No, change my mailing address","No, cambiar mi dirección postal","No, cambiar mi dirección postal",
S2 - Portal Dashboard - Logout,Sign out,Logout,Cerrar sesión,Cerrar sesión,
S2 - Portal Dashboard - Action Navigation - Lead,I want to,I want to,Quiero,Quiero,
S2 - Portal Dashboard - Action Navigation - Check Existing Cards,Check existing cards,Check existing cards,Revisar mis tarjetas existentes,Revisar mis tarjetas existentes,
S2 - Portal Dashboard - Action Navigation - Order replacement cards,Request new cards,Request new cards,Pedir tarjetas de reemplazo,Pedir tarjetas de reemplazo,
S2 - Portal Dashboard - Action Navigation - Change my mailing address,Change my mailing address,Change my mailing address,Cambiar mi dirección de correspondencia,Cambiar mi dirección de correspondencia,
S2 - Portal Dashboard - Action Navigation - Change my contact information,Change my contact information,Change my contact information,Cambiar mi información de contacto,Cambiar mi información de contacto,
S2 - Portal Dashboard - Action Navigation - Check existing applications,Check existing applications,Check existing applications,Revisar solicitudes pendientes,Revisar solicitudes pendientes,
S2 - Portal Dashboard - Action Navigation - Activate Card,Activate a card,Activate a card,Activar una tarjeta,Activar una tarjeta,
S2 - Portal Dashboard - Action Navigation - Apply,Apply for Summer EBT,Apply for Summer EBT,Enviar una solicitud para la Summer EBT,Aplicar para Summer EBT,
S2 - Portal Dashboard - Profile Table - Heading Status,Status,Status,Estado,Estado,
S2 - Portal Dashboard - Profile Table - Status Enrolled,Enrolled,Enrolled,Inscrito,Inscrito ,
S2 - Portal Dashboard - Profile Table - Status Application In-Progress,Application in-process,Application in-progress,Solicitud en proceso,Aplicación en proceso,
S2 - Portal Dashboard - Profile Table - Status Application Denied,Application denied,Application denied,Solicitud rechazada,Aplicación rechazada,
S2 - Portal Dashboard - Profile Table - Status Enrolled Description,Your children are enrolled because we have enough information to confirm their eligibility.,Your children are enrolled because we have enough information to confirm their eligibility.,Tus niños están inscritos porque tenemos suficiente información para confirmar que califican.,Tus niños están inscritos porque tenemos suficiente información para confirmar que califican.,
S2 - Portal Dashboard - Profile Table - Status Check Address,Check mailing address,Check mailing address,Revisar dirección postal,Revisar dirección postal,
S2 - Portal Dashboard - Profile Table - Heading Contact,Your preferred contact,Your preferred contact,Tu método de contacto preferido,Tu método de contacto preferido,
S2 - Portal Dashboard - Profile Table - Contact Emails On,Getting emails at [email]@[domain].,Getting emailed notices at [email]@[domain].,Recibiendo avisos por correo electrónico a [email]@[domain],Recibiendo avisos por correo electrónico a [email]@[domain],
S2 - Portal Dashboard - Profile Table - Contact Emails Off,Not getting emails.,Getting mailed notices to my physical address.,No está recibiendo correo electrónico,Recibiendo avisos por correo postal a mi dirección física.,
S2 - Portal Dashboard - Profile Table - Contact Text On,Getting text messages at ([999]) 999-9999.,Getting text messages at ([999]) 999-9999.,Recibiendo mensajes de texto al ([999]) 999-9999.,Recibiendo mensajes de texto al ([999]) 999-9999.,
S2 - Portal Dashboard - Profile Table - Contact Text Off,Not getting text messages.,Not getting text messages.,No está recibiendo mensajes de texto,No está recibiendo mensajes de texto,
S2 - Portal Dashboard - Profile Table - Heading Address,Your mailing address,Your mailing address,Tu dirección de correspondencia,Tu dirección de correspondencia,
S2 - Portal Dashboard - Profile Table - Co-loaded Address,!N/A!,How we determine your mailing address,!N/A!,Cómo determinamos tu dirección de correspondencia,
S2 - Portal Dashboard - Profile Table - Update your profile,!N/A!,Update your profile,!N/A!,Actualiza tu perfil,
S2 - Portal Dashboard - Profile Table - Physical Mail,!N/A!,Physical Mail,!N/A!,Correo físico,
S2 - Portal Dashboard - Profile Table - Action Change Address,Change my mailing address,Change my mailing address,Cambiar mi dirección de correspondencia,Cambiar mi dirección de correspondencia,
S2 - Portal Dashboard - Profile Table - Action Change Contact,Change my contact preferences,Change my contact preferences,Cambiar mi información de contacto,Cambiar mi información de contacto,
S2 - Portal Dashboard - Section - Cards Heading,Summer EBT Cards,Summer EBT Cards,Tarjetas Summer EBT,Tarjetas Summer EBT,
S2 - Portal Dashboard - Section - Cards Body,!N/A!,Here are your children's Summer EBT cards we have on file.,!N/A!,Estas son las tarjetas Summer EBT de tus niños que tenemos registradas. ,
S2 - Portal Dashboard - Section - Cards Alert Body,!N/A!,"If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not have a Summer EBT card. Their benefits will be loaded onto the SNAP or TANF EBT card.",!N/A!,"Si tu niño/a califica para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no tendrá una tarjeta Summer EBT. Sus beneficios se cargarán en la tarjeta EBT de SNAP o TANF.",
S2 - Portal Dashboard - Card Table - Heading SEBT ID,Summer EBT ID,Summer EBT ID,ID Summer EBT,ID Summer EBT,
S2 - Portal Dashboard - Card Table - Heading Issued,Benefit issue date,Benefit issue date,Beneficios asignados,Fecha en que se emitieron los beneficios,
S2 - Portal Dashboard - Card Table - Heading Exp Date,Benefit expiration date,Benefit expiration date,Fecha de vencimiento del beneficio,Fecha de vencimiento del beneficio,
S2 - Portal Dashboard - Card Table - Heading Card Type,Benefit issued to,Benefit issued to,Beneficios asignados a,Beneficios asignados a,
S2 - Portal Dashboard - Card Table - Types,!N/A!,[Summer EBT] Card,!N/A!,Tarjeta [Summer EBT],
S2 - Portal Dashboard - Card Table - Types Co-loaded,!N/A!,Household [SNAP EBT/TANF EBT] Card,!N/A!,Tarjeta [SNAP EBT/TANF EBT]  del hogar ,
S2 - Portal Dashboard - Card Table - Type SEBT,Summer EBT Card,Summer EBT Card,Tarjeta Summer EBT,Tarjeta Summer EBT,
S2 - Portal Dashboard - Card Table - Type SNAP,!N/A!,Household SNAP EBT Card,!N/A!,Tarjeta SNAP EBT del hogar,
S2 - Portal Dashboard - Card Table - Type TANF,!N/A!,Household Colorado Works (TANF) EBT Card,!N/A!,Tarjeta Colorado Works (TANF) EBT del hogar,
S2 - Portal Dashboard - Card Table - Heading Card Number,Card number,Card number,Número de tarjeta,Número de tarjeta,
S2 - Portal Dashboard - Card Table - Last Four Digits,[9999] (last 4 digits),[9999] (last 4 digits),[9999] (últimos 4 dígitos),[9999] (últimos 4 dígitos),
S2 - Portal Dashboard - Card Table - Heading Card Status,Card status,Card status,Estado de la tarjeta,Estado de la tarjeta,
S2 - Portal Dashboard - Card Table - Heading Mailing address,!N/A!,Mailing address,!N/A!,Dirección de correspondencia,
S2 - Portal Dashboard - Card Table - Status Requested,!N/A!,Requested on [MM/DD/YYYY],!N/A!,Solicitada [DD/MM/YYYY],
S2 - Portal Dashboard - Card Table - Status Issued,!N/A!,Issued on [MM/DD/YYYY],!N/A!,Emitida el [DD/MM/YYYY],
S2 - Portal Dashboard - Card Table - Status Mailed,!N/A!,Mailed on [MM/DD/YYYY],!N/A!,Enviada por correo el [DD/MM/YYYY],
S2 - Portal Dashboard - Card Table - Status Active,Active,Active,Activa,Activa,
S2 - Portal Dashboard - Card Table - Status Deactivated,Inactive,Deactivated,Inactiva,Desactivada,
S2 - Portal Dashboard - Card Table - Status Inactive,Inactive,Inactive,Inactiva,Inactiva,
S2 - Portal Dashboard - Card Table - Status Frozen,Frozen,Frozen,Congelada,Congelada,
S2 - Portal Dashboard - Card Table - Status Undeliverable,Undeliverable,Undeliverable,No se pudo entregar,No se pudo entregar,
S2 - Portal Dashboard - Card Table - Status Message Requested 1,!N/A!,We've requested a new Summer EBT card that will arrive in the mail within 2–3 weeks. Check back here to see when the card has been mailed.,!N/A!,Hemos solicitado una nueva tarjeta de Summer EBT que llegará por correo en un plazo de 2 a 3 semanas. Regresa aquí para ver cuándo se envió la tarjeta.,
S2 - Portal Dashboard - Card Table - Status Message Requested 2,"A replacement card will arrive in the mail in around 7-10 business days. Once replacement cards are created, the previous cards will be permanently deactivated. Any remaining balance on the previous card will automatically be rolled over to the replacement card.

If it doesn't arrive in the mail after 10 business days, you can request a new card here.",A replacement card will arrive in the mail in around 5–7 days. The card should be mailed within 2 days. Check back here to see when the replacement card has been mailed.,"Una tarjeta de reemplazo llegará por correo en aproximadamente 7 a 10 días hábiles. Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente. Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo.

Si no te llega por correo después de 10 días hábiles, puedes solicitar una nueva tarjeta aquí.",Una tarjeta de reemplazo llegará por correo en aproximadamente 5 a 7 días. La tarjeta debería ser enviada dentro de 2 días. Regresa aquí para ver cuándo se envió la tarjeta de reemplazo.,
S2 - Portal Dashboard - Card Table - Status Message Mailed,!N/A!,"After the new card is mailed, it should arrive in around 5–7 days. If it doesn't arrive after two weeks, you can request a replacement card.",!N/A!,"Una vez que se envíe por correo la nueva tarjeta, debería llegar en un plazo de 5 a 7 días. Si no llega después de dos semanas, puedes solicitar una tarjeta de reemplazo.",
S2 - Portal Dashboard - Card Table - Status Message Active,"This card has been sent to you. It is ready to make purchases as soon as you set the PIN. When the card arrives, call EBT Customer Service at (888) 328-2656 to set the card's PIN.

When asked to enter the date of birth, enter your child’s birthdate and use the format MM-DD-YYYY (month-day-year).

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address your card was mailed to.","This card has been sent to you. It is ready to make purchases as soon as you set the PIN. When the card arrives, call EBT Customer Service at (888) 328-2656 to set the card's PIN.

When asked to enter the date of birth, enter your child’s birthdate and use the format MM-DD-YYYY.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address your card was mailed to.","Esta tarjeta ya se te envió. Está lista para hacer compras en cuanto le pongas el PIN. Cuando llegue la tarjeta, llama al Servicio al Cliente de EBT al (888) 328-2656 para configurar el PIN de la tarjeta.

Cuando te pidan ingresar la fecha de nacimiento, escribe la fecha de nacimiento de tu niño/a usando el formato DD-MM-YYYY (día-mes-año).

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo tu tarjeta.","Esta tarjeta ya se te envió. Está lista para hacer compras en cuanto le pongas el PIN. Cuando llegue la tarjeta, llama al Servicio al Cliente de EBT al (888) 328-2656 para configurar el PIN de la tarjeta.

Cuando te pidan ingresar la fecha de nacimiento, escribe la fecha de nacimiento de tu niño/a usando el formato DD-MM-YYYY (día-mes-año).

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo tu tarjeta.",For version in Español the format is DD-MM-YYYY
S2 - Portal Dashboard - Card Table - Status Message Deactivated,"This card was reported as lost, stolen, damaged, or otherwise inactive.","This card was reported as lost, stolen, damaged, or otherwise inactive.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva.",
S2 - Portal Dashboard - Card Table - Status Message Inactive,"This card was reported as lost, stolen, damaged, or otherwise inactive.","This card was reported as lost, stolen, damaged, or otherwise inactive.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva.",
S2 - Portal Dashboard - Card Table - Status Message Frozen,"You won’t be able to use your benefits while this card is frozen. Unfreeze the card to keep using your benefits. This can be done with the ebtEDGE, MyCoBenefits, or Propel apps.","You won’t be able to use your benefits while this card is frozen. Unfreeze the card to keep using your benefits. This can be done with the ebtEDGE, MyCoBenefits, or Propel apps.","No podrás usar tus beneficios mientras esta tarjeta esté congelada. Descongela la tarjeta para seguir usando tus beneficios. Puedes hacerlo con las aplicaciones ebtEDGE, MyCoBenefits o Propel.","No podrás usar tus beneficios mientras esta tarjeta esté congelada. Descongela la tarjeta para seguir usando tus beneficios. Puedes hacerlo con las aplicaciones ebtEDGE, MyCoBenefits o Propel.",
S2 - Portal Dashboard - Card Table - Status Message Undeliverable,The card could not be delivered to the address on file. ,The card could not be delivered to the address on file. ,No se pudo entregar la tarjeta a la dirección que tenemos registrada.,No se pudo entregar la tarjeta a la dirección que tenemos registrada.,
S2 - Portal Dashboard - Card Table - Action Update Mailing Address,Update this card's mailing address,Update this card's mailing address,Actualizar la dirección de correspondencia de esta tarjeta,Actualizar la dirección de correspondencia de esta tarjeta,
S2 - Portal Dashboard - Card Table - Action Request Replacement,Request a replacement card,Request a replacement card,Solicitar una tarjeta de reemplazo,Solicitar una tarjeta de reemplazo,
S2 - Portal Dashboard - Card Table - Action How to Replace,!N/A!,How to get a replacement EBT card,!N/A!,Cómo conseguir una tarjeta EBT de reemplazo,
S2 - Portal Dashboard - Card Table - Action Update Request,Update your address and order a replacement card,Update your address and order a replacement card,Actualiza tu dirección y pide una tarjeta de reemplazo,Actualiza tu dirección y pide una tarjeta de reemplazo,
S2 - Portal Dashboard - Alert EBT Edge - Title,Check balance or change PIN number,Check balance or change PIN number,Revisar balance o cambiar número de PIN,Revisar balance o cambiar número de PIN,
S2 - Portal Dashboard - Alert EBT Edge - Body,If you need to,"When you add your cards to an ebtEDGE account, you can","Cuando agregas tus tarjetas a una cuenta de ebtEDGE, puedes","Cuando agregas tus tarjetas a una cuenta de ebtEDGE, puedes",
S2 - Portal Dashboard - Alert EBT Edge - Features,"Check a card balance and transactions, 
Freeze or unfreeze to protect benefits from theft, 
Or change a card PIN","Check the card balance, 
Freeze or unfreeze to protect benefits from theft, 
Or change the card PIN","Revisar el balance de la tarjeta, 
Congelarlas o descongelarlas para proteger tus beneficios del robo, o
Cambiar la clave de la tarjeta","Revisar el balance de las tarjetas, 
Congelarlas o descongelarlas para proteger tus beneficios del robo, o
Cambiar la clave de la tarjeta",
S2 - Portal Dashboard - Alert EBT Edge - Body 2,You can call EBT Customer Service at (888) 328-2656 or use ebtEDGE online and create an account.,,Puedes llamar al Servicio al Cliente de EBT al (888) 328-2656 o usar ebtEDGE en línea y crear una cuenta.,,
S2 - Portal Dashboard - Alert EBT Edge - Action,Go to ebtEDGE,Go to ebtEDGE,Ir a ebtEDGE,Ir a ebtEDGE,
S2 - Portal Dashboard - Alert EBT Edge - Action 2,Tap to call EBT Customer Service,Tap to call EBT Customer Service,Toca la pantalla para llamar al Servicio al Cliente de EBT,Toca la pantalla para llamar al Servicio al Cliente de EBT,
S2 - Portal Dashboard - Section - Enrolled Children Heading,Enrolled Children,Enrolled Children,Niños inscritos,Niños inscritos,
S2 - Portal Dashboard - Section - Enrolled Children Body 1,"The following children are enrolled in Summer EBT. If you would like to submit an application for a child who isn't enrolled, you may","The following children are enrolled in Summer EBT. If you would like to submit an application for a child who isn't enrolled, you may","Los siguientes niños han sido inscritos automáticamente en Summer EBT. Si quieres, puedes aplicar para un niño que no está inscrito.","Los siguientes niños están inscritos en Summer EBT. Si quieres, puedes aplicar para un niño(a) que no está inscrito.",
S2 - Portal Dashboard - Section - Enrolled Children Body 2,!N/A!,You may submit an application for a child who isn't enrolled,!N/A!,Puedes aplicar para un niño que no está inscrito,
S2 - Portal Dashboard - Section - Enrolled Children Action,submit a Summer EBT application.,submit a Summer EBT application.,Aplicar para Summer EBT.,Entregar una solicitud para Summer EBT.,
S2 - Portal Dashboard - Section - Applications Heading,Summer EBT Applications,Summer EBT Applications,Solicitudes de Summer EBT,Solicitudes de Summer EBT,
S2 - Portal Dashboard - Section - Applications Body,Here are your Summer EBT applications for children who haven't been automatically enrolled.,Here are your Summer EBT applications for children who haven't been automatically enrolled.,Aquí están tus solicitudes de Summer EBT para los niños que no se han inscrito automáticamente.,Aquí están tus solicitudes de Summer EBT para los niños que no se han inscrito automáticamente.,
S2 - Portal Dashboard - Applications Table - Heading Number,SEBT Application Tracking ID,Case number,Número de seguimiento de la solicitud de SEBT,Número de la solicitud,
S2 - Portal Dashboard - Applications Table - Heading Date Submitted,!N/A!,Date submitted,!N/A!,Fecha de envío,
S2 - Portal Dashboard - Applications Table - Heading Children Included,Children included in application,Children included in application,Niños incluídos en la aplicación,Niños incluídos en la solicitud,
S2 - Portal Dashboard - Applications Table - Heading Status,Status,Status,Estado,Estado,
S2 - Portal Dashboard - Applications Table - Status Approved,Approved,Approved,Aprobada,Aprobada,
S2 - Portal Dashboard - Applications Table - Status Pending,In-process,Pending,Pendiente ,Pendiente,
S2 - Portal Dashboard - Applications Table - Status Denied,Denied,Denied,Rechazao,Rechazada,
S2 - Portal Dashboard - Alert Applications Title,"Currently, you have no children enrolled in Summer EBT or Summer EBT applications","Currently, you have no children enrolled in Summer EBT or Summer EBT applications","Actualmente, no tienes niños inscritos en Summer EBT ni solicitudes de Summer EBT","Actualmente, no tienes niños inscritos en Summer EBT ni solicitudes de Summer EBT",
S2 - Portal Dashboard - Alert Applications Body,"Come back to this dashboard in 1–2 business days if you've just applied, and your application isn't displayed.","Come back to this dashboard in 1–2 business days if you've just applied, and your application isn't displayed.",Vuelve a este portal mañana si acabas de enviar tu aplicación y tu solicitud y aún no aparece.,Vuelve a este panel mañana si acabas de enviar tu solicitud y todavía no aparece.,
S2 - Portal Dashboard - Alert Applications Action,Apply for Summer EBT now,Apply for Summer EBT now,Aplica para Summer EBT ahora ,Aplica para Summer EBT ahora ,
S3 - Contact Preferences Update - Title,Your contact preferences,Your contact preferences,Tus preferencias de contacto,Tus preferencias de contacto,
S3 - Contact Preferences Update - Body,"If you choose email or text, we’ll continue to also mail notices to your physical address.",If you choose email or text we’ll continue to also mail notices to your physical address.,"Si eliges correo electrónico o mensaje de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.","Si eliges correo electrónico o mensaje de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.",
S3 - Contact Preferences Update - Label Language,Which language do you prefer to be contacted in?,Which language do you prefer to be contacted in?,¿En qué idioma prefieres que te contacten?,¿En qué idioma prefieres que te contacten?,
S3 - Contact Preferences Update - Label Contact Preference,Would you like to get emails about your Summer EBT account?,How do you prefer to be contacted?,¿Te gustaría recibir correos electrónicos sobre tu cuenta de Summer EBT?,¿Cómo prefieres que te contactemos?,
S3 - Contact Preferences Update - Label Email,What's your email address?,What's your email address?,¿Cómo prefieres que te contactemos?,¿Cuál es tu correo electrónico?,
S3 - Contact Preferences Update - Label Text Preference,Would you like get text messages about your Summer EBT account sent to ([999]) [999]-[9999]?,Would you like to get text messages about your DC SUN Bucks account?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de Summer EBT al ([999]) [999]-[9999]?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de DC SUN Bucks?,
S3 - Contact Preferences Update - Description Text Preference,This phone number needs to be able to receive text messages and can’t be changed.,This phone number needs to be able to receive text messages and can’t be changed.,Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.,Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.,
S3 - Contact Preferences Update - Label Phone,!N/A!,What's the best phone number to text you?,!N/A!,¿Cuál es el mejor número de teléfono para enviarte mensajes de texto?,
S3 - Contact Preferences Update - Description Phone,!N/A!,This phone number needs to be able to receive text messages.,!N/A!,Este número de teléfono tiene que poder recibir mensajes de texto,
S3 - Contact Preferences Update - Action Update Contact,Update contact preferences,Update contact preferences,Actualizar las preferencias de contacto,Actualizar las preferencias de contacto,
S3 - Parent Profile Update - Alert Profile Update,!N/A!,Your profile has been updated,!N/A!,Tu perfil ha sido actualizado,
S3 - Parent Profile Update - Title,!N/A!,Your Summer EBT Profile,!N/A!,Tu perfil de Summer EBT,
S3 - Parent Profile Update - Back,!N/A!,Back to portal home,!N/A!,Regresar a la página de inicio del portal,
S3 - Parent Profile Update - Heading Mailing Address,!N/A!,Your mailing address,!N/A!,Tu dirección de correspondencia,
S3 - Parent Profile Update - Label Preferred Mailing Address,!N/A!,Select your preferred mailing address,!N/A!,Selecciona tu dirección de correspondencia preferida,
S3 - Parent Profile Update - Helper Preferred Mailing Address,!N/A!,You may add or edit addresses in this list using the links below.,!N/A!,Puedes agregar o editar las direcciones en esta lista usando los enlaces de abajo.,
S3 - Parent Profile Update - Action Add Mailing Address,!N/A!,Add a new mailing address,!N/A!,Agregar una nueva dirección de correspondencia,
S3 - Parent Profile Update - Edit Mailing Address,!N/A!,Edit mailing addresses,!N/A!,Editar la dirección de correspondencia,
S3 - Mailing Address Edit - Title,!N/A!,Edit your mailing addresses,!N/A!,Edite tu dirección de correspondencia,
S3 - Mailing Address Edit - Label Select Address,!N/A!,Select the address to edit,!N/A!,Selecciona la dirección que quieres editar,
S3 - Mailing Address Edit - Label Update or Delete,!N/A!,Do you want to update or delete this address?,!N/A!,¿Quieres actualizar o borrar esta dirección?,
S3 - Mailing Address Edit - Option Update,!N/A!,Update,!N/A!,Actualizar,
S3 - Mailing Address Edit - Option Delete,!N/A!,Delete,!N/A!,Borarr,
S3 - Confirm Delete Address - Title,!N/A!,Are you sure you want to delete this address?,!N/A!,¿Estás seguro de que quieres borrar esta dirección?,
S3 - Parent Profile Update - Action Update Address,!N/A!,Update address preferences,!N/A!,Actualizar las preferencias de direcciones,
S4 - Mailing Address Update - Title Your,Tell us where to safely send your mail,Tell us where to safely send your mail,Cuéntanos a qué dirección podemos enviarte tu correo de forma segura,Cuéntanos a qué dirección podemos enviarte tu correo de forma segura,
S4 - Mailing Address Update - Helper Street Address,!N/A!,Enter a street address shorter than 30 characters.,!N/A!,Escribe una dirección de calle de menos de 30 caracteres.,
S4 - Mailing Address Update - Alert Body,"There was an issue with the address provided. If you can, please enter a street address shorter than 30 characters.","There was an issue with the address provided. If you can, please, enter a street address shorter than 30 characters.","Hubo un problema con la dirección que ingresaste. Si puedes, escribe una dirección de calle de menos de 30 caracteres.","Hubo un problema con la dirección que ingresaste. Si puedes, escribe una dirección de calle de menos de 30 caracteres.",
S4 - Mailing Address Update - Alert Action,Contact us if you need more help.,Contact us if you need more help.,Contáctanos si necesitas más ayuda,Contáctanos si necesitas más ayuda.,
S4 - Mailing Address Update - Validation Street Address,Enter a street address shorter than 30 characters.,Enter a street address shorter than 30 characters.,Escribe una dirección de calle de menos de 30 caracteres.,Escribe una dirección de calle de menos de 30 caracteres.,
S4 - Abbreviated Address - Title,!N/A!,We abbreviated your address,!N/A!,Abreviamos tu dirección,
S4 - Abbreviated Address - Body 1,!N/A!,We updated the street address to a format we can accept.,!N/A!,Actualizamos la dirección de la calle a un formato que sí podemos aceptar.,
S4 - Abbreviated Address - Body 2,!N/A!,Suggested address,!N/A!,Dirección sugerida,
S4 - Abbreviated Address - Body 3,!N/A!,Address you entered,!N/A!,Dirección que ingresaste,
S4 - Abbreviated Address - Body 4,!N/A!,"If the suggested address is correct, tap ""Use suggested address"". If you want to make a change to your address, tap ""Edit the address I entered"". Enter a street address shorter than 30 characters.",!N/A!,"Si la dirección sugerida es correcta, toca “Usar la dirección sugerida”.
Si quieres hacer un cambio a tu dirección, toca “Editar la dirección que ingresé”.
Ingresa una dirección de calle con menos de 30 caracteres.",
S4 - Abbreviated Address - Action 1,!N/A!,Edit the address I entered,!N/A!,Editar la dirección que ingresé,
S4 - Abbreviated Address - Action 2,!N/A!,Use suggested address,!N/A!,Usar la dirección sugerida,
S4 - Address Not Found - Title,Are you sure this address is correct?,Are you sure this address is correct?,¿Estás seguro que esta dirección es correcta?,¿Estás seguro que esta dirección es correcta?,
S4 - Address Not Found - Body,"We couldn't find the address you entered. To make sure we can send you mail or a Summer EBT card, please check the address. If it is correct, tap ""Use this address"".

If you want to make a change, tap ""Edit the address"".","We couldn't find the address you entered. To make sure we can send you mail or a Summer EBT card, please check the address. If it is correct, tap ""Use this address"".

If you want to make a change, tap ""Edit the address"".","No pudimos encontrar la dirección que ingresaste. Para asegurarnos de poder enviarte correo o tu tarjeta de Summer EBT, por favor revisa la dirección. Si es correcta, toca “Usar esta dirección”.

Si quieres hacer un cambio, toca “Editar la dirección”.","No pudimos encontrar la dirección que ingresaste. Para asegurarnos de poder enviarte correo o tu tarjeta de Summer EBT, por favor revisa la dirección. Si es correcta, toca “Usar esta dirección”.

Si quieres hacer un cambio, toca “Editar la dirección”.",
S4 - Address Not Found - Alert Title,Address you entered,Address you entered,Dirección que ingresaste,Dirección que ingresaste,
S4 - Address Not Found - Alert Action,Edit the address,Edit the address,Editar esta dirección,Editar esta dirección,
S4 - Address Not Found - Continue,Use this address,Use this address,Usar esta dirección,Usar esta dirección,
S4 - Address Not Found - Action Help,!N/A!,Contact us,!N/A!,Contáctanos ,
S4 - Suggested Address - Title,Check the address,Check the address,Confirmar la dirección,Confirmar la dirección,
S4 - Suggested Address - Body,"We updated the address you entered. If correct, use the suggested address.","We updated the address you entered. If correct, use the suggested address.","Hemos actualizado la dirección que ingresaste. Si es correcta, selecciona la dirección sugerida.","Hemos actualizado la dirección que ingresaste. Si es correcta, selecciona la dirección sugerida.",
S4 - Suggested Address - Label Select,Select the address to use,Select the address to use,Selecciona la dirección que quieres usar,Selecciona la dirección que quieres usar,
S5 - Bulk Order New Cards - Title,Do you want to request replacement Summer EBT cards to be sent to this address?,Do you want to request replacement Summer EBT cards to be sent to this address?,¿Quieres solicitar que las tarjetas Summer EBT de reemplazo sean enviadas a esta dirección?,¿Quieres solicitar que las tarjetas Summer EBT de reemplazo sean enviadas a esta dirección?,
S5 - Bulk Order New Cards - Body 1,We can send replacement cards if,We can send replacement cards if,Podemos enviar tarjetas de reemplazo si,Podemos enviar tarjetas de reemplazo si,
S5 - Bulk Order New Cards - Body 2,"You haven't received them in the mail after two weeks
Or you no longer have them","You haven't received them in the mail after two weeks
Or you no longer have them","No las has recibido por correo después de dos semanas
o ya no las tienes","No las has recibido por correo después de dos semanas
O ya no las tienes",
S5 - Bulk Order New Cards Confirm - Title,A few things to know before replacing Summer EBT cards,A few things to know before replacing Summer EBT cards,Algunas cosas a tener en cuenta antes de reemplazar las tarjetas de Summer EBT,Algunas cosas que debes saber antes de reemplazar las Tarjetas Summer EBT,
S5 - Bulk Order New Cards Confirm - Body,"Once replacement cards are created, the previous cards will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Once replacement cards are created, the previous cards will be permanently deactivated
Cards will arrive by mail in around 5–7 days
You can check here to see when the card has been mailed
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente
Las tarjetas llegarán por correo en aproximadamente 7 a 10 días hábiles
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo","Una vez que se creen las tarjetas de reemplazo, las tarjetas anteriores se desactivarán permanentemente.
Las tarjetas llegarán por correo entre 5 y 7 días, aproximadamente.
Puedes verificar aquí cuándo se ha enviado la tarjeta.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo",
S5 - Bulk Order New Cards Confirm - Summary Title,Card order summary,Card order summary,Resumen del pedido de la tarjeta,Resumen del pedido de la tarjeta,
S5 - Bulk Order New Cards Confirm - Summary Address,New cards will be mailed to the following address:,New cards will be mailed to the following address:,Las nuevas tarjetas se enviarán por correo a la siguiente dirección:,Las nuevas tarjetas se enviarán por correo a la siguiente dirección:,
