S2 - Portal Dashboard - Alert Contact Updated,Your contact preferences have been updated,Your contact preferences have been updated,Se han actualizado tus preferencias de contacto,Se han actualizado tus preferencias de contacto,
S2 - Portal Dashboard - Alert Address Update Error,There was an issue updating your mailing address. Please try again later.,There was an issue updating your mailing address. Please try again later.,Hubo un problema al actualizar su dirección postal. Vuelve a intentarlo más tarde.,Hubo un problema al actualizar tu dirección postal. Vuelve a intentarlo más tarde.,
S2 - Portal Dashboard - Alert Contact Update Error,There was an issue updating your contact preferences. Please try again later.,There was an issue updating your contact preferences. Please try again later.,Hubo un problema al actualizar tus preferencias de contacto. Vuelve a intentarlo más tarde.,Hubo un problema al actualizar tus preferencias de contacto. Vuelve a intentarlo más tarde.,
S2 - Portal Dashboard - Alert Check Address Title,Is your address correct?,Is your address correct?,Revisa tu dirección,Revisa tu dirección,
S2 - Portal Dashboard - Alert Check Address Body,Please check your preferred mailing address to make sure you can receive Summer EBT cards and other mail from us.,Please check your preferred mailing address to make sure you can receive Summer EBT cards and other mail from us.,"Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas Summer EBT y otros envíos por correo de nuestra parte.","Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas Summer EBT y otros envíos por correo de nuestra parte.",
S2 - Portal Dashboard - Alert Check Address Link 1,"Yes, this is my address","Yes, this is my address","Si, esta es mi dirección postal","Si, esta es mi dirección postal",
S2 - Portal Dashboard - Alert Check Address Link 2,"No, change my mailing address","No, change my mailing address","No, cambiar mi dirección postal","No, cambiar mi dirección postal",
S2 - Portal Dashboard - Logout,Logout,Logout,Cerrar sesión,Cerrar sesión,
S2 - Portal Dashboard - Action Navigation - Lead,I want to,I want to,Quiero,Quiero,
S2 - Portal Dashboard - Action Navigation - Check Existing Cards,Check existing cards,Check existing cards,Revisar mis tarjetas existentes,Revisar mis tarjetas existentes,
S2 - Portal Dashboard - Action Navigation - Order replacement cards,Request new cards,Request new cards,Pedir tarjetas de reemplazo,Pedir tarjetas de reemplazo,
S2 - Portal Dashboard - Action Navigation - Change my mailing address,Change my mailing address,Change my mailing address,Cambiar mi dirección de correspondencia,Cambiar mi dirección de correspondencia,
S2 - Portal Dashboard - Action Navigation - Change my contact information,Change my contact information,Change my contact information,Cambiar mi información de contacto,Cambiar mi información de contacto,
S2 - Portal Dashboard - Action Navigation - Check existing applications,Check existing applications,Check existing applications,Revisar solicitudes pendientes,Revisar solicitudes pendientes,
S2 - Portal Dashboard - Action Navigation - Activate Card,Activate a card,Activate a card,Activar una tarjeta,Activar una tarjeta,
S2 - Portal Dashboard - Action Navigation - Apply,Apply for Summer EBT,Apply for Summer EBT,Enviar una solicitud para la Summer EBT,Aplicar para Summer EBT,
S2 - Portal Dashboard - Profile Table - Heading Status,Status,Status,Estado,Estado,
S2 - Portal Dashboard - Profile Table - Status Enrolled,Enrolled,Enrolled,Inscrito,Inscrito ,
S2 - Portal Dashboard - Profile Table - Status Application In-Progress,Application in-progress,Application in-progress,Solicitud en proceso,Aplicación en proceso,
S2 - Portal Dashboard - Profile Table - Status Application Denied,Application denied,Application denied,Solicitud rechazada,Aplicación rechazada,
S2 - Portal Dashboard - Profile Table - Status Enrolled Description,Your children are enrolled because we have enough information to confirm their eligibility.,Your children are enrolled because we have enough information to confirm their eligibility.,Tus hijos están inscritos porque tenemos suficiente información para confirmar que califican.,Tus hijos están inscritos porque tenemos suficiente información para confirmar que califican.,
S2 - Portal Dashboard - Profile Table - Status Check Address,Check mailing address,Check mailing address,Revisar dirección postal,Revisar dirección postal,
S2 - Portal Dashboard - Profile Table - Heading Contact,Your preferred contact,Your preferred contact,Su método de contacto preferido,Tu método de contacto preferido,
S2 - Portal Dashboard - Profile Table - Contact Emails On,Getting emails at [email]@[domain].,Getting emailed notices at [email]@[domain].,Recibiendo avisos por correo electrónico a [email]@[domain],Recibiendo avisos por correo electrónico a [email]@[domain],
S2 - Portal Dashboard - Profile Table - Contact Emails Off,Not getting emails.,Getting mailed notices to my physical address.,No está recibiendo correo electrónico,Recibiendo avisos por correo postal a mi dirección física.,
S2 - Portal Dashboard - Profile Table - Contact Text On,Getting text messages at ([999]) 999-9999.,Getting text messages at ([999]) 999-9999.,Recibiendo mensajes de texto al ([999]) 999-9999.,Recibiendo mensajes de texto al ([999]) 999-9999.,
S2 - Portal Dashboard - Profile Table - Contact Text Off,Not getting text messages.,Not getting text messages.,No está recibiendo mensajes de texto,No está recibiendo mensajes de texto,
S2 - Portal Dashboard - Profile Table - Heading Address,Your mailing address,Your mailing address,Tu dirección de correspondencia,Tu dirección de correspondencia,
S2 - Portal Dashboard - Profile Table - Update your profile,Update your profile,Update your profile,Actualizar tu perfil,Actualiza tu perfil,
S2 - Portal Dashboard - Profile Table - Physical Mail,Physical Mail,Physical Mail,Correo físico,Correo físico,
S2 - Portal Dashboard - Profile Table - Action Change Address,Change my mailing address,Change my mailing address,Cambiar mi dirección de correspondencia,Cambiar mi dirección de correspondencia,
S2 - Portal Dashboard - Profile Table - Action Change Contact,Change my contact preferences,Change my contact preferences,Cambiar mi información de contacto,Cambiar mi información de contacto,
S2 - Portal Dashboard - Section - Cards Heading,Summer EBT Cards,Summer EBT Cards,Tarjetas Summer EBT,Tarjetas Summer EBT,
S2 - Portal Dashboard - Section - Cards Body,Here are your children's Summer EBT cards we have on file.,Here are your children's Summer EBT cards we have on file.,Estas son las tarjetas Summer EBT de tus hijos que tenemos registradas. ,Estas son las tarjetas Summer EBT de tus hijos que tenemos registradas. ,
S2 - Portal Dashboard - Section - Cards Alert Body,"If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not have a Summer EBT card. Their benefits will be loaded onto the SNAP or TANF EBT card.","If your child is eligible for Summer EBT through SNAP or Colorado Works (TANF) participation, they will not have a Summer EBT card. Their benefits will be loaded onto the SNAP or TANF EBT card.","Si tu hijo califica para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no tendrá una tarjeta Summer EBT. Sus beneficios se cargarán en la tarjeta EBT de SNAP o TANF.","Si tu hijo califica para Summer EBT a través de la participación en SNAP o Colorado Works (TANF), no tendrá una tarjeta Summer EBT. Sus beneficios se cargarán en la tarjeta EBT de SNAP o TANF.",
S2 - Portal Dashboard - Card Table - Heading SEBT ID,Summer EBT ID,Summer EBT ID,ID Summer EBT,ID Summer EBT,
S2 - Portal Dashboard - Card Table - Heading Issued,Benefit issue date,Benefit issue date,Beneficios asignados,Beneficios asignados,
S2 - Portal Dashboard - Card Table - Heading Exp Date,Benefit expiration date,Benefit expiration date,Fecha de vencimiento del beneficio,Fecha de vencimiento del beneficio,
S2 - Portal Dashboard - Card Table - Heading Card Type,Benefit issued to,Benefit issued to,Beneficios asignados a,Beneficios asignados a,
S2 - Portal Dashboard - Card Table - Types,[Summer EBT] Card,[Summer EBT] Card,Tarjeta [Summer EBT],Tarjeta [Summer EBT],
S2 - Portal Dashboard - Card Table - Types Co-loaded,[SNAP EBT/TANF EBT] Card,Household [SNAP EBT/TANF EBT] Card,Tarjeta [SNAP EBT/TANF EBT] del hogar,Tarjeta [SNAP EBT/TANF EBT]  del hogar ,
S2 - Portal Dashboard - Card Table - Type SEBT,Summer EBT Card,Summer EBT Card,Tarjeta Summer EBT,Tarjeta Summer EBT,
S2 - Portal Dashboard - Card Table - Type SNAP,SNAP EBT Card,Household SNAP EBT Card,Tarjeta SNAP EBT del hogar,Tarjeta SNAP EBT del hogar,
S2 - Portal Dashboard - Card Table - Type TANF,Colorado Works (TANF) EBT Card,Household Colorado Works (TANF) EBT Card,Tarjeta Colorado Works (TANF) EBT del hogar,Tarjeta Colorado Works (TANF) EBT del hogar,
S2 - Portal Dashboard - Card Table - Heading Card Number,Card number,Card number,Número de tarjeta,Número de tarjeta,
S2 - Portal Dashboard - Card Table - Last Four Digits,[9999] (last 4 digits),[9999] (last 4 digits),[9999] (últimos 4 dígitos),[9999] (últimos 4 dígitos),
S2 - Portal Dashboard - Card Table - Heading Card Status,Card status,Card status,Estado de la tarjeta,Estado de la tarjeta,
S2 - Portal Dashboard - Card Table - Heading Mailing address,Mailing address,Mailing address,Dirección de correspondencia,Dirección de correspondencia,
S2 - Portal Dashboard - Card Table - Status Requested,Requested on [MM/DD/YYYY],Requested on [MM/DD/YYYY],Solicitada el [DD/MM/YYYY],Solicitada [DD/MM/YYYY],
S2 - Portal Dashboard - Card Table - Status Issued,Issued on [MM/DD/YYYY],Issued on [MM/DD/YYYY],Emitida el [DD/MM/YYYY],Emitida el [DD/MM/YYYY],
S2 - Portal Dashboard - Card Table - Status Mailed,Mailed on [MM/DD/YYYY] to,Mailed on [MM/DD/YYYY],Enviado por correo el [DD/MM/YYYY],Enviada por correo el [DD/MM/YYYY],
S2 - Portal Dashboard - Card Table - Status Active,Active,Active,Activa,Activa,
S2 - Portal Dashboard - Card Table - Status Deactivated,Inactive,Deactivated,Inactiva,Desactivada,
S2 - Portal Dashboard - Card Table - Status Inactive,Inactive,Inactive,Inactiva,Inactiva,
S2 - Portal Dashboard - Card Table - Status Frozen,Frozen,Frozen,Congelada,Congelada,
S2 - Portal Dashboard - Card Table - Status Undeliverable,Undeliverable,Undeliverable,No se pudo entregar,No se pudo entregar,
S2 - Portal Dashboard - Card Table - Status Message Requested 1,We've requested a new Summer EBT card that will arrive in the mail within 4–7 weeks. Check back here to see when the card has been mailed.,We've requested a new Summer EBT card that will arrive in the mail within 2–3 weeks. Check back here to see when the card has been mailed.,Hemos solicitado una nueva tarjeta de DC SUN Bucks que llegará por correo en un plazo de 2 a 3 semanas. Regresa aquí para ver cuándo se ha enviado la tarjeta.,Hemos solicitado una nueva tarjeta de Summer EBT que llegará por correo en un plazo de 2 a 3 semanas. Regresa aquí para ver cuándo se envió la tarjeta.,
S2 - Portal Dashboard - Card Table - Status Message Requested 2,A replacement card will arrive in the mail in around 7–10 business days. Check back here to see when the replacement card has been mailed.,A replacement card will arrive in the mail in around 5–7 days. The card should be mailed within 2 days. Check back here to see when the replacement card has been mailed.,Una tarjeta de reemplazo llegará por correo en aproximadamente 5 a 7 días. La tarjeta debería ser enviada dentro de 2 días. Regresa aquí para ver cuándo se ha enviado la tarjeta de reemplazo.,Una tarjeta de reemplazo llegará por correo en aproximadamente 5 a 7 días. La tarjeta debería ser enviada dentro de 2 días. Regresa aquí para ver cuándo se envió la tarjeta de reemplazo.,
S2 - Portal Dashboard - Card Table - Status Message Mailed,"After the new card is mailed, it should arrive in around 7–10 business days. If it doesn't arrive after two weeks, you can request a replacement card.

Once you receive the card, call EBT Customer Service at (888) 328-2656 to set the card's PIN and activate it. When asked to ""enter your date of birth,"" enter the child's birthdate, not your own.","After the new card is mailed, it should arrive in around 5–7 days. If it doesn't arrive after two weeks, you can request a replacement card.","Una vez que se envíe por correo la nueva tarjeta, debería llegar en un plazo de 5 a 7 días. Si no llega después de dos semanas, puedes solicitar una tarjeta de reemplazo.","Una vez que se envíe por correo la nueva tarjeta, debería llegar en un plazo de 5 a 7 días. Si no llega después de dos semanas, puedes solicitar una tarjeta de reemplazo.",
S2 - Portal Dashboard - Card Table - Status Message Active,"This card has been sent to you. It is ready to make purchases as soon as you set the PIN. When the card arrives, call EBT Customer Service at (888) 328-2656 to set the card's PIN.

When asked to enter the date of birth, enter your child’s birthdate and use the format MM-DD-YYYY.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address your card was mailed to.","This card has been sent to you. It is ready to make purchases as soon as you set the PIN. When the card arrives, call EBT Customer Service at (888) 328-2656 to set the card's PIN.

When asked to enter the date of birth, enter your child’s birthdate and use the format MM-DD-YYYY.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address your card was mailed to.","Esta tarjeta ya se te envió. Está lista para hacer compras en cuanto le pongas el PIN. Cuando llegue la tarjeta, llama al Servicio al Cliente de EBT al (888) 328-2656 para configurar el PIN de la tarjeta.

Cuando te pidan ingresar la fecha de nacimiento, escribe la fecha de nacimiento de tu hijo usando el formato DD-MM-YYYY (día-mes-año).

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo tu tarjeta.","Esta tarjeta ya se te envió. Está lista para hacer compras en cuanto le pongas el PIN. Cuando llegue la tarjeta, llama al Servicio al Cliente de EBT al (888) 328-2656 para configurar el PIN de la tarjeta.

Cuando te pidan ingresar la fecha de nacimiento, escribe la fecha de nacimiento de tu hijo usando el formato DD-MM-YYYY (día-mes-año).

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo tu tarjeta.",For version in Español the format is DD-MM-YYYY
S2 - Portal Dashboard - Card Table - Status Message Deactivated,"This card was reported as lost, stolen, damaged, or otherwise inactive. Email the Summer EBT Help Desk at cdhs_sebt_supportcenter@state.co.us to learn more or report a change.","This card was reported as lost, stolen, damaged, or otherwise inactive. Email the Summer EBT Help Desk at cdhs_sebt_supportcenter@state.co.us to learn more or report a change.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva. Escribe al centro de ayuda Summer EBT a cdhs_sebt_supportcenter@state.co.us para saber más o reportar un cambio.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva. Escribe al centro de ayuda Summer EBT a cdhs_sebt_supportcenter@state.co.us para saber más o reportar un cambio.",
S2 - Portal Dashboard - Card Table - Status Message Inactive,"This card was reported as lost, stolen, damaged, or otherwise inactive. Email the Summer EBT Help Desk at cdhs_sebt_supportcenter@state.co.us to learn more or report a change.","This card was reported as lost, stolen, damaged, or otherwise inactive. Email the Summer EBT Help Desk at cdhs_sebt_supportcenter@state.co.us to learn more or report a change.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva. Escribe al centro de ayuda Summer EBT a cdhs_sebt_supportcenter@state.co.us para saber más o reportar un cambio.","Esta tarjeta fue reportada como perdida, robada, dañada o inactiva. Escribe al centro de ayuda Summer EBT a cdhs_sebt_supportcenter@state.co.us para saber más o reportar un cambio.",
S2 - Portal Dashboard - Card Table - Status Message Frozen,"You won’t be able to use your benefits while this card is frozen. Unfreeze the card to keep using your benefits. This can be done with the ebtEDGE, MyCoBenefits, or Propel apps.","You won’t be able to use your benefits while this card is frozen. Unfreeze the card to keep using your benefits. This can be done with the ebtEDGE, MyCoBenefits, or Propel apps.","No podrás usar tus beneficios mientras esta tarjeta esté congelada. Descongela la tarjeta para seguir usando tus beneficios. Puedes hacerlo con las aplicaciones ebtEDGE, MyCoBenefits o Propel.","No podrás usar tus beneficios mientras esta tarjeta esté congelada. Descongela la tarjeta para seguir usando tus beneficios. Puedes hacerlo con las aplicaciones ebtEDGE, MyCoBenefits o Propel.",
S2 - Portal Dashboard - Card Table - Status Message Undeliverable,The card could not be delivered to the address on file. ,The card could not be delivered to the address on file. ,No se pudo entregar la tarjeta a la dirección que tenemos registrada.,No se pudo entregar la tarjeta a la dirección que tenemos registrada.,
S2 - Portal Dashboard - Card Table - Action Update Mailing Address,Update this card's mailing address,Update this card's mailing address,Actualizar la dirección de correspondencia de esta tarjeta,Actualizar la dirección de correspondencia de esta tarjeta,
S2 - Portal Dashboard - Card Table - Action Request Replacement,Request a replacement card,Request a replacement card,Solicitar una tarjeta de reemplazo,Solicitar una tarjeta de reemplazo,
S2 - Portal Dashboard - Card Table - Action Update Request,Update your address and order a replacement card,Update your address and order a replacement card,Actualiza tu dirección y pide una tarjeta de reemplazo,Actualiza tu dirección y pide una tarjeta de reemplazo,
S2 - Portal Dashboard - Alert EBT Edge - Title,Check balance or change PIN number,Check balance or change PIN number,Revisar balance o cambiar número de PIN,Revisar balance o cambiar número de PIN,
S2 - Portal Dashboard - Alert EBT Edge - Body,If you need to,"When you add your cards to an ebtEDGE account, you can","Cuando agregas tus tarjetas a una cuenta de ebtEDGE, puedes","Cuando agregas tus tarjetas a una cuenta de ebtEDGE, puedes",
S2 - Portal Dashboard - Alert EBT Edge - Features,"Check a card balance and transactions, 
Freeze or unfreeze to protect benefits from theft, 
Or change a card PIN","Check the card balance, 
Freeze or unfreeze to protect benefits from theft, 
Or change the card PIN","Revisar el balance de la tarjeta, 
Congelarlas o descongelarlas para proteger tus beneficios del robo, o
Cambiar la clave de la tarjeta","Revisar el balance de las tarjetas, 
Congelarlas o descongelarlas para proteger tus beneficios del robo, o
Cambiar la clave de la tarjeta",
S2 - Portal Dashboard - Alert EBT Edge - Body 2,You can call EBT Customer Service at (888) 328-2656 or use ebtEDGE online and create an account.,,Puedes llamar al Servicio al Cliente de EBT al (888) 328-2656 o usar ebtEDGE en línea y crear una cuenta.,,
S2 - Portal Dashboard - Alert EBT Edge - Action,Go to ebtEDGE,Go to ebtEDGE,Ir a ebtEDGE,Ir a ebtEDGE,
S2 - Portal Dashboard - Alert EBT Edge - Action 2,Tap to call EBT Customer Service,Tap to call EBT Customer Service,Toca la pantalla para llamar al Servicio al Cliente de EBT,Toca la pantalla para llamar al Servicio al Cliente de EBT,
S2 - Portal Dashboard - Section - Enrolled Children Heading,Enrolled Children,Enrolled Children,Niños inscritos,Niños inscritos,
S2 - Portal Dashboard - Section - Enrolled Children Body 1,"The following children are enrolled in Summer EBT. If you would like to submit an application for a child who isn't enrolled, you may","The following children are enrolled in Summer EBT. If you would like to submit an application for a child who isn't enrolled, you may","Los siguientes niños han sido inscritos automáticamente en Summer EBT. Si quieres, puedes aplicar para un niño que no está inscrito.","Los siguientes niños están inscritos en Summer EBT. Si quieres, puedes aplicar para un niño que no está inscrito.",
S2 - Portal Dashboard - Section - Enrolled Children Body 2,"If you would like to submit an application for a child who isn't enrolled, you may",You may submit an application for a child who isn't enrolled,"Si quieres, puedes enviar una solicitud de un niño que no está inscrito",Puedes aplicar para un niño que no está inscrito,
S2 - Portal Dashboard - Section - Enrolled Children Action,submit a Summer EBT application.,submit a Summer EBT application.,Aplicar para Summer EBT.,Aplicar para Summer EBT.,
S2 - Portal Dashboard - Section - Applications Heading,Summer EBT Applications,Summer EBT Applications,Aplicaciones de Summer EBT,Aplicaciones de Summer EBT,
S2 - Portal Dashboard - Section - Applications Body,Here are your Summer EBT applications for children who haven't been automatically enrolled.,Here are your Summer EBT applications for children who haven't been automatically enrolled.,Aquí están tus aplicaciones de Summer EBT para los niños que no se han inscrito automáticamente.,Aquí están tus aplicaciones de Summer EBT para los niños que no se han inscrito automáticamente.,
S2 - Portal Dashboard - Applications Table - Heading Number,SEBT Application Tracking ID,Case number,Número de seguimiento de la solicitud de SEBT,Número de la aplicación,
S2 - Portal Dashboard - Applications Table - Heading Date Submitted,,Date submitted,,Fecha de envío,
S2 - Portal Dashboard - Applications Table - Heading Children Included,Children included in application,Children included in application,Niños incluídos en la aplicación,Niños incluídos en la aplicación,
S2 - Portal Dashboard - Applications Table - Heading Status,Status,Status,Estado,Estado,
S2 - Portal Dashboard - Applications Table - Status Approved,Approved,Approved,Aprobada,Aprobada,
S2 - Portal Dashboard - Alert Applications Title,"Currently, you have no children enrolled in Summer EBT or Summer EBT applications","Currently, you have no children enrolled in Summer EBT or Summer EBT applications","Actualmente, no tiene menores inscritos en Summer EBT ni aplicaciones de Summer EBT","Actualmente, no tienes menores inscritos en Summer EBT ni solicitudes de Summer EBT",
S2 - Portal Dashboard - Alert Applications Body,"Come back to this dashboard in 1–2 business days if you've just applied, and your application isn't displayed.","Come back to this dashboard in 1–2 business days if you've just applied, and your application isn't displayed.",Vuelva a este portal mañana si acaba de presentar una solicitud y su solicitud aún no aparece.,Vuelve a este panel mañana si acabas de enviar tu solicitud y todavía no aparece.,
S2 - Portal Dashboard - Alert Applications Action,Apply for Summer EBT now,Apply for Summer EBT now,Aplique para Summer EBT ahora ,Aplica para Summer EBT ahora ,
S3 - Contact Preferences Update - Title,Your contact preferences,Your contact preferences,Tus preferencias de contacto,Tus preferencias de contacto,
S3 - Contact Preferences Update - Body,If you choose email or text we’ll continue to also mail notices to your physical address.,If you choose email or text we’ll continue to also mail notices to your physical address.,"Si eliges correo electrónico o mensaje de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.","Si eliges correo electrónico o mensaje de texto, también vamos a seguir enviando avisos por correo postal a tu dirección física.",
S3 - Contact Preferences Update - Label Language,Which language do you prefer to be contacted in?,Which language do you prefer to be contacted in?,¿En qué idioma prefieres que te contacten?,¿En qué idioma prefieres que te contacten?,
S3 - Contact Preferences Update - Label Contact Preference,Would you like to get emails about your Summer EBT account?,How do you prefer to be contacted?,¿Te gustaría recibir correos electrónicos sobre tu cuenta de Summer EBT?,¿Cómo prefieres que te contactemos?,
S3 - Contact Preferences Update - Label Email,What's your email address?,What's your email address?,¿Cómo prefieres que te contactemos?,¿Cuál es tu correo electrónico?,
S3 - Contact Preferences Update - Label Text Preference,Would you like get text messages about your Summer EBT account sent to ([999]) [999]-[9999]?,Would you like to get text messages about your DC SUN Bucks account?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de Summer EBT al ([999]) [999]-[9999]?,¿Te gustaría recibir mensajes de texto sobre tu cuenta de DC SUN Bucks?,
S3 - Contact Preferences Update - Description Text Preference,This phone number needs to be able to receive text messages and can’t be changed.,This phone number needs to be able to receive text messages and can’t be changed.,Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.,Este número de teléfono tiene que poder recibir mensajes de texto y no se puede cambiar.,
S3 - Contact Preferences Update - Label Phone,,What's the best phone number to text you?,¿Cuál es el mejor número de teléfono para enviarte mensajes de texto?,¿Cuál es el mejor número de teléfono para enviarte mensajes de texto?,
S3 - Contact Preferences Update - Description Phone,,This phone number needs to be able to receive text messages.,Este número de teléfono tiene que poder recibir mensajes de texto,Este número de teléfono tiene que poder recibir mensajes de texto,
S3 - Contact Preferences Update - Action Update Contact,Update contact preferences,Update contact preferences,Actualizar las preferencias de contacto,Actualizar las preferencias de contacto,
S3 - Parent Profile Update - Alert Profile Update,Your profile has been updated,Your profile has been updated,Tu perfil ha sido actualizado,Tu perfil ha sido actualizado,
S3 - Parent Profile Update - Title,Your Summer EBT Profile,Your Summer EBT Profile,Tu perfil de Summer EBT,Tu perfil de Summer EBT,
S3 - Parent Profile Update - Back,Back to portal home,Back to portal home,Regresar a la página de inicio del portal,Regresar a la página de inicio del portal,
S3 - Parent Profile Update - Heading Mailing Address,Your mailing address,Your mailing address,Tu dirección de correspondencia,Tu dirección de correspondencia,
S3 - Parent Profile Update - Label Preferred Mailing Address,Select your preferred mailing address,Select your preferred mailing address,Selecciona tu dirección de correspondencia preferida,Selecciona tu dirección de correspondencia preferida,
S3 - Parent Profile Update - Helper Preferred Mailing Address,You may add or edit addresses in this list using the links below.,You may add or edit addresses in this list using the links below.,Puedes agregar o editar las direcciones en esta lista usando los enlaces de abajo.,Puedes agregar o editar las direcciones en esta lista usando los enlaces de abajo.,
S3 - Parent Profile Update - Action Add Mailing Address,Add a new mailing address,Add a new mailing address,Agregar una nueva dirección de correspondencia,Agregar una nueva dirección de correspondencia,
S3 - Parent Profile Update - Edit Mailing Address,Edit mailing addresses,Edit mailing addresses,Editar la dirección de correspondencia,Editar la dirección de correspondencia,
S3 - Mailing Address Edit - Title,Edit your mailing addresses,Edit your mailing addresses,Edite tu dirección de correspondencia,Edite tu dirección de correspondencia,
S3 - Mailing Address Edit - Label Select Address,Select the address to edit,Select the address to edit,Selecciona la dirección que quieres editar,Selecciona la dirección que quieres editar,
S3 - Mailing Address Edit - Label Update or Delete,Do you want to update or delete this address?,Do you want to update or delete this address?,¿Quieres actualizar o borrar esta dirección?,¿Quieres actualizar o borrar esta dirección?,
S3 - Mailing Address Edit - Option Update,Update,Update,Actualizar,Actualizar,
S3 - Mailing Address Edit - Option Delete,Delete,Delete,Borarr,Borarr,
S3 - Confirm Delete Address - Title,Are you sure you want to delete this address?,Are you sure you want to delete this address?,¿Estás seguro de que quieres borrar esta dirección?,¿Estás seguro de que quieres borrar esta dirección?,
S3 - Parent Profile Update - Action Update Address,Update address preferences,Update address preferences,Actualizar las preferencias de direcciones,Actualizar las preferencias de direcciones,
S4 - Mailing Address Update - Title Your,Tell us where to safely send your mail,Tell us where to safely send your mail,Cuéntanos a qué dirección podemos enviarte tu correo de forma segura,Cuéntanos a qué dirección podemos enviarte tu correo de forma segura,
S4 - Mailing Address Update - Helper Street Address,Enter a street address shorter than 30 characters.,Enter a street address shorter than 30 characters.,Escribe una dirección de calle de menos de 30 caracteres.,Escribe una dirección de calle de menos de 30 caracteres.,
S4 - Mailing Address Update - Alert Body,"There was an issue with the address provided. If you can, please, enter a street address shorter than 30 characters.","There was an issue with the address provided. If you can, please, enter a street address shorter than 30 characters.","Hubo un problema con la dirección que ingresaste. Si puedes, escribe una dirección de calle de menos de 30 caracteres.","Hubo un problema con la dirección que ingresaste. Si puedes, escribe una dirección de calle de menos de 30 caracteres.",
S4 - Mailing Address Update - Alert Action,Contact us if you need more help.,Contact us if you need more help.,Contáctanos si necesitas más ayuda,Contáctanos si necesitas más ayuda.,
S4 - Mailing Address Update - Validation Street Address,Enter a street address shorter than 30 characters.,Enter a street address shorter than 30 characters.,Escribe una dirección de calle de menos de 30 caracteres.,Escribe una dirección de calle de menos de 30 caracteres.,
S4 - Abbreviated Address - Title,We abbreviated your address,We abbreviated your address,Abreviamos tu dirección,Abreviamos tu dirección,
S4 - Abbreviated Address - Body 1,We updated the street address to a format we can accept.,We updated the street address to a format we can accept.,Actualizamos la dirección de la calle a un formato que sí podemos aceptar,Actualizamos la dirección de la calle a un formato que sí podemos aceptar.,
S4 - Abbreviated Address - Body 2,Suggested address,Suggested address,Dirección sugerida,Dirección sugerida,
S4 - Abbreviated Address - Body 3,Address you entered,Address you entered,Dirección que ingresaste,Dirección que ingresaste,
S4 - Abbreviated Address - Body 4,"If the suggested address is correct, tap ""Use suggested address"". If you want to make a change to your address, tap ""Edit the address I entered"". Enter a street address shorter than 30 characters.","If the suggested address is correct, tap ""Use suggested address"". If you want to make a change to your address, tap ""Edit the address I entered"". Enter a street address shorter than 30 characters.","Si la dirección sugerida es correcta, toca “Usar la dirección sugerida”.
Si quieres hacer un cambio a tu dirección, toca “Editar la dirección que ingresé”.
Ingresa una dirección de calle con menos de 30 caracteres.","Si la dirección sugerida es correcta, toca “Usar la dirección sugerida”.
Si quieres hacer un cambio a tu dirección, toca “Editar la dirección que ingresé”.
Ingresa una dirección de calle con menos de 30 caracteres.",
S4 - Abbreviated Address - Action 1,Edit the address I entered,Edit the address I entered,Editar la dirección que ingresé,Editar la dirección que ingresé,
S4 - Abbreviated Address - Action 2,Use suggested address,Use suggested address,Usar la dirección sugerida,Usar la dirección sugerida,
S4 - Address Not Found - Title,Are you sure this address is correct?,Are you sure this address is correct?,¿Estás seguro que esta dirección es correcta?,¿Estás seguro que esta dirección es correcta?,
S4 - Address Not Found - Body,"We couldn't find the address you entered. To make sure we can send you mail or a Summer EBT card, please check the address. If it is correct, tap ""Use this address"".

If you want to make a change, tap ""Edit the address"".","We couldn't find the address you entered. To make sure we can send you mail or a Summer EBT card, please check the address. If it is correct, tap ""Use this address"".

If you want to make a change, tap ""Edit the address"".","No pudimos encontrar la dirección que ingresaste. Para asegurarnos de poder enviarte correo o tu tarjeta de Summer EBT, por favor revisa la dirección. Si es correcta, toca “Usar esta dirección”.

Si quieres hacer un cambio, toca “Editar la dirección”.","No pudimos encontrar la dirección que ingresaste. Para asegurarnos de poder enviarte correo o tu tarjeta de Summer EBT, por favor revisa la dirección. Si es correcta, toca “Usar esta dirección”.

Si quieres hacer un cambio, toca “Editar la dirección”.",
S4 - Address Not Found - Alert Title,Address you entered,Address you entered,Dirección que ingresaste,Dirección que ingresaste,
S4 - Address Not Found - Alert Action,Edit the address,Edit the address,Editar esta dirección,Editar esta dirección,
S4 - Address Not Found - Continue,Use this address,Use this address,Usar esta dirección,Usar esta dirección,
