Variable Name/Key,🟢 CO English Current,SOURCE English,🟢 CO Español Current,SOURCE Español,Notes
S2 - Log In Disclaimer - Title,Access the Summer EBT portal,PROBLEM,Accede a tu cuenta de Summer EBT,PROBLEM,
S2 - Log In Disclaimer - Log In Disclaimer - Body 1,"After tapping ""Sign in"", you'll be redirected to sign in using your myColorado® account. If you don't have an account, you'll be able to create one using your name, email address, phone number, and date of birth.",PROBLEM,"Después de tocar “Iniciar sesión”, se te redirigirá para entrar con tu cuenta de myColorado®. Si no tienes una cuenta, podrás crearla usando tu nombre, correo electrónico, número de teléfono y fecha de nacimiento.",PROBLEM,
S2 - Log In Disclaimer - Log In Disclaimer - Body 2,Contact us if you need assistance signing in.,PROBLEM,Contáctanos si necesitas ayuda para iniciar sesión en tu cuenta.,PROBLEM,
S2 - Log In Disclaimer - Log In Disclaimer - Body 3,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Alert Address Updated,Your mailing address has been updated,PROBLEM,Tu dirección ha sido actualizada,PROBLEM,
S2 - Portal Dashboard - Alert Address Title,"A replacement for the card[s] ending in [[9999], [9999], and [9999],] will be sent to the following address",PROBLEM,"Las tarjeta terminadas en [[9999], [9999], y [9999], van a ser remplazadas y enviadas a la siguiente dirección",PROBLEM,
S2 - Portal Dashboard - Alert Address Body,New cards usually arrive in your mailbox within 7–10 business days. Check back here in 1–2 business days to see your updated card details.,PROBLEM,Las tarjetas nuevas generalmente llegan por correo en un plazo de 7 a 10 días hábiles. Vuelve a consultar aquí en 1 a 2 días hábiles para ver la información actualizada de tu tarjeta.,PROBLEM,
S2 - Portal Dashboard - Alert Contact Updated,Your contact preferences have been updated,PROBLEM,Se han actualizado tus preferencias de contacto,PROBLEM,
S2 - Portal Dashboard - Alert Address Update Error,There was an issue updating your mailing address. Please try again later.,PROBLEM,Hubo un problema al actualizar su dirección postal. Vuelve a intentarlo más tarde.,PROBLEM,
S2 - Portal Dashboard - Alert Contact Update Error,There was an issue updating your contact preferences. Please try again later.,PROBLEM,Hubo un problema al actualizar tus preferencias de contacto. Vuelve a intentarlo más tarde.,PROBLEM,
S2 - Portal Dashboard - Alert Check Address Title,Is your address correct?,PROBLEM,Revisa tu dirección,PROBLEM,
S2 - Portal Dashboard - Alert Check Address Body,Please check your preferred mailing address to make sure you can receive Summer EBT cards and other mail from us.,PROBLEM,"Por favor, revisa tu dirección postal preferida para asegurarte de que puedas recibir las tarjetas Summer EBT y otros envíos por correo de nuestra parte.",PROBLEM,
S2 - Portal Dashboard - Alert Check Address Link 1,"Yes, this is my address",PROBLEM,"Si, esta es mi dirección postal",PROBLEM,
S2 - Portal Dashboard - Alert Check Address Link 2,"No, change my mailing address",PROBLEM,"No, cambiar mi dirección postal",PROBLEM,
S2 - Portal Dashboard - Logout,Sign out,PROBLEM,Cerrar sesión,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Lead,I want to,PROBLEM,Quiero,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Check Existing Cards,Check existing cards,PROBLEM,Revisar mis tarjetas existentes,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Order replacement cards,Request new cards,PROBLEM,Pedir tarjetas de reemplazo,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Change my mailing address,Change my mailing address,PROBLEM,Cambiar mi dirección de correspondencia,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Change my contact information,Change my contact information,PROBLEM,Cambiar mi información de contacto,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Check existing applications,Check existing applications,PROBLEM,Revisar solicitudes pendientes,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Activate Card,Activate a card,PROBLEM,Activar una tarjeta,PROBLEM,
S2 - Portal Dashboard - Action Navigation - Apply,Apply for Summer EBT,PROBLEM,Enviar una solicitud para la Summer EBT,PROBLEM,
S2 - Portal Dashboard - Profile Table - Heading Status,Status,PROBLEM,Estado,PROBLEM,
S2 - Portal Dashboard - Profile Table - Status Enrolled,Enrolled,PROBLEM,Inscrito,PROBLEM,
S2 - Portal Dashboard - Profile Table - Status Application In-Progress,Application in-process,PROBLEM,Solicitud en proceso,PROBLEM,
S2 - Portal Dashboard - Profile Table - Status Application Denied,Application denied,PROBLEM,Solicitud rechazada,PROBLEM,
S2 - Portal Dashboard - Profile Table - Status Enrolled Description,Your children are enrolled because we have enough information to confirm their eligibility.,PROBLEM,Tus niños están inscritos porque tenemos suficiente información para confirmar que califican.,PROBLEM,
S2 - Portal Dashboard - Profile Table - Status Check Address,Check mailing address,PROBLEM,Revisar dirección postal,PROBLEM,
S2 - Portal Dashboard - Profile Table - Heading Contact,Your preferred contact,PROBLEM,Tu método de contacto preferido,PROBLEM,
S2 - Portal Dashboard - Profile Table - Contact Emails On,Getting emails at [email]@[domain].,PROBLEM,Recibiendo avisos por correo electrónico a [email]@[domain],PROBLEM,
S2 - Portal Dashboard - Profile Table - Contact Emails Off,Not getting emails.,PROBLEM,No está recibiendo correo electrónico,PROBLEM,
S2 - Portal Dashboard - Profile Table - Contact Text On,Getting text messages at ([999]) 999-9999.,PROBLEM,Recibiendo mensajes de texto al ([999]) 999-9999.,PROBLEM,
S2 - Portal Dashboard - Profile Table - Contact Text Off,Not getting text messages.,PROBLEM,No está recibiendo mensajes de texto,PROBLEM,
S2 - Portal Dashboard - Profile Table - Heading Address,Your mailing address,PROBLEM,Tu dirección de correspondencia,PROBLEM,
S2 - Portal Dashboard - Profile Table - Co-loaded Address,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Profile Table - Update your profile,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Profile Table - Physical Mail,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Profile Table - Action Change Address,Change my mailing address,PROBLEM,Cambiar mi dirección de correspondencia,PROBLEM,
S2 - Portal Dashboard - Profile Table - Action Change Contact,Change my contact preferences,PROBLEM,Cambiar mi información de contacto,PROBLEM,
S2 - Portal Dashboard - Section - Cards Heading,Summer EBT Cards,PROBLEM,Tarjetas Summer EBT,PROBLEM,
S2 - Portal Dashboard - Section - Cards Body,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Section - Cards Alert Body,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Heading SEBT ID,Summer EBT ID,PROBLEM,ID Summer EBT,PROBLEM,
S2 - Portal Dashboard - Card Table - Heading Issued,Benefit issue date,PROBLEM,Beneficios asignados,PROBLEM,
S2 - Portal Dashboard - Card Table - Heading Exp Date,Benefit expiration date,PROBLEM,Fecha de vencimiento del beneficio,PROBLEM,
S2 - Portal Dashboard - Card Table - Heading Card Type,Benefit issued to,PROBLEM,Beneficios asignados a,PROBLEM,
S2 - Portal Dashboard - Card Table - Types,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Types Co-loaded,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Type SEBT,Summer EBT Card,PROBLEM,Tarjeta Summer EBT,PROBLEM,
S2 - Portal Dashboard - Card Table - Type SNAP,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Type TANF,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Heading Card Number,Card number,PROBLEM,Número de tarjeta,PROBLEM,
S2 - Portal Dashboard - Card Table - Last Four Digits,[9999] (last 4 digits),PROBLEM,[9999] (últimos 4 dígitos),PROBLEM,
S2 - Portal Dashboard - Card Table - Heading Card Status,Card status,PROBLEM,Estado de la tarjeta,PROBLEM,
S2 - Portal Dashboard - Card Table - Heading Mailing address,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Requested,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Issued,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Mailed,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Active,Active,PROBLEM,Activa,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Deactivated,Inactive,PROBLEM,Inactiva,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Inactive,Inactive,PROBLEM,Inactiva,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Frozen,Frozen,PROBLEM,Congelada,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Undeliverable,Undeliverable,PROBLEM,No se pudo entregar,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Message Requested 1,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Message Requested 2,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Message Mailed,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Status Message Active,"This card has been sent to you. It is ready to make purchases as soon as you set the PIN. When the card arrives, call EBT Customer Service at (888) 328-2656 to set the card's PIN.

When asked to enter the date of birth, enter your child’s birthdate and use the format MM-DD-YYYY (month-day-year).

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address your card was mailed to.",PROBLEM,"Esta tarjeta ya se te envió. Está lista para hacer compras en cuanto le pongas el PIN. Cuando llegue la tarjeta, llama al Servicio al Cliente de EBT al (888) 328-2656 para configurar el PIN de la tarjeta.

Cuando te pidan ingresar la fecha de nacimiento, escribe la fecha de nacimiento de tu niño/a usando el formato DD-MM-YYYY (día-mes-año).

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo tu tarjeta.",PROBLEM,For version in Español the format is DD-MM-YYYY
S2 - Portal Dashboard - Card Table - Status Message Deactivated,"This card was reported as lost, stolen, damaged, or otherwise inactive.",PROBLEM,"Esta tarjeta fue reportada como perdida, robada, dañada o inactiva.",PROBLEM,
S2 - Portal Dashboard - Card Table - Status Message Inactive,"This card was reported as lost, stolen, damaged, or otherwise inactive.",PROBLEM,"Esta tarjeta fue reportada como perdida, robada, dañada o inactiva.",PROBLEM,
S2 - Portal Dashboard - Card Table - Status Message Frozen,"You won’t be able to use your benefits while this card is frozen. Unfreeze the card to keep using your benefits. This can be done with the ebtEDGE, MyCoBenefits, or Propel apps.",PROBLEM,"No podrás usar tus beneficios mientras esta tarjeta esté congelada. Descongela la tarjeta para seguir usando tus beneficios. Puedes hacerlo con las aplicaciones ebtEDGE, MyCoBenefits o Propel.",PROBLEM,
S2 - Portal Dashboard - Card Table - Status Message Undeliverable,The card could not be delivered to the address on file. ,PROBLEM,No se pudo entregar la tarjeta a la dirección que tenemos registrada.,PROBLEM,
S2 - Portal Dashboard - Card Table - Action Update Mailing Address,Update this card's mailing address,PROBLEM,Actualizar la dirección de correspondencia de esta tarjeta,PROBLEM,
S2 - Portal Dashboard - Card Table - Action Request Replacement,Request a replacement card,PROBLEM,Solicitar una tarjeta de reemplazo,PROBLEM,
S2 - Portal Dashboard - Card Table - Action How to Replace,,PROBLEM,,PROBLEM,
S2 - Portal Dashboard - Card Table - Action Update Request,Update your address and order a replacement card,PROBLEM,Actualiza tu dirección y pide una tarjeta de reemplazo,PROBLEM,
S2 - Portal Dashboard - Alert EBT Edge - Title,Check balance or change PIN number,PROBLEM,Revisar balance o cambiar número de PIN,PROBLEM,
S2 - Portal Dashboard - Alert EBT Edge - Body,If you need to,PROBLEM,"Cuando agregas tus tarjetas a una cuenta de ebtEDGE, puedes",PROBLEM,
S2 - Portal Dashboard - Alert EBT Edge - Features,"Check a card balance and transactions, 
Freeze or unfreeze to protect benefits from theft, 
Or change a card PIN",PROBLEM,"Revisar el balance de la tarjeta, 
Congelarlas o descongelarlas para proteger tus beneficios del robo, o
Cambiar la clave de la tarjeta",PROBLEM,
S2 - Portal Dashboard - Alert EBT Edge - Body 2,You can call EBT Customer Service at (888) 328-2656 or use ebtEDGE online and create an account.,PROBLEM,Puedes llamar al Servicio al Cliente de EBT al (888) 328-2656 o usar ebtEDGE en línea y crear una cuenta.,PROBLEM,
S2 - Portal Dashboard - Alert EBT Edge - Action,Go to ebtEDGE,PROBLEM,Ir a ebtEDGE,PROBLEM,
S2 - Portal Dashboard - Alert EBT Edge - Action 2,Tap to call EBT Customer Service,PROBLEM,Toca la pantalla para llamar al Servicio al Cliente de EBT,PROBLEM,
S2 - Portal Dashboard - Section - Enrolled Children Heading,Enrolled Children,PROBLEM,Niños inscritos,PROBLEM,
